,Episode,Duration,Slots,Score,Epsilon,min_loss,success rate,success_rate
90,90,0.12800000000027012,320,-133.2,0.8334494362227647,0.07186027616262436,,"[4, 3, 4, 29]"
91,91,0.10800000000022791,270,-120.7,0.8317825373503192,0.11317586898803711,,"[9, 3, 4, 34]"
92,92,0.12400000000026168,310,-141.3,0.8301189722756185,0.10376537591218948,,"[8, 4, 4, 33]"
93,93,0.10800000000022791,270,-112.2,0.8284587343310672,0.10577549040317535,,"[7, 6, 4, 19]"
94,94,0.1160000000002448,290,-137.2,0.8268018168624051,0.10527922958135605,,"[5, 5, 4, 22]"
95,95,0.1160000000002448,290,-95.6,0.8251482132286803,0.09034435451030731,,"[11, 5, 4, 37]"
96,96,0.12000000000025324,300,-132.0,0.823497916802223,0.07854245603084564,,"[12, 3, 4, 37]"
97,97,0.10800000000022791,270,-91.0,0.8218509209686186,0.1089441105723381,,"[9, 8, 4, 34]"
98,98,0.10800000000022791,270,-113.6,0.8202072191266814,0.11427827179431915,,"[8, 7, 4, 37]"
99,99,0.12400000000026168,310,-126.8,0.818566804688428,0.10736286640167236,,"[3, 7, 4, 39]"
100,100,0.12000000000025324,300,-97.1,0.8169296710790511,0.08001871407032013,,"[9, 5, 4, 11]"
101,101,0.12400000000026168,310,-143.8,0.815295811736893,0.06895449757575989,,"[7, 6, 4, 29]"
102,102,0.12000000000025324,300,-111.8,0.8136652201134192,0.09659050405025482,,"[7, 5, 4, 32]"
103,103,0.10400000000021947,260,-107.7,0.8120378896731923,0.07529094815254211,,"[6, 7, 4, 28]"
104,104,0.1160000000002448,290,-94.3,0.8104138138938459,0.05847539007663727,,"[9, 6, 4, 34]"
105,105,0.12800000000027012,320,-107.2,0.8087929862660582,0.0914306640625,,"[9, 5, 4, 28]"
106,106,0.10800000000022791,270,-104.0,0.8071754002935261,0.09486706554889679,,"[8, 5, 4, 13]"
107,107,0.1160000000002448,290,-98.4,0.805561049492939,0.0757480263710022,,"[10, 7, 4, 12]"
108,108,0.10800000000022791,270,-122.19999999999999,0.8039499273939532,0.0954965204000473,,"[7, 6, 4, 28]"
109,109,0.1160000000002448,290,-103.3,0.8023420275391653,0.10769026726484299,,"[11, 5, 4, 28]"
